Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Aghatan Ajo Ghate,Drama,"A classic Bengali film revolving around the life's journey of a married couple, who brave all odds. A childless couple is blessed with a son after a divine intervention. What happens next makes the story even more interesting. Watch the full movie on Hoichoi.",U,1,1989,Amal Mitra,"Arjun Chakraborty, Indrani Dutta, Anil Chatterjee","classic, bengali, film, revolving, around, life, s, journey, married, couple, who, brave, all, odds, childless, couple, blessed, son, divine, intervention, what, happens, next, makes, story, even, more, interesting, watch, full, movie, hoichoi",,
Amar Sanghee,Romance,"Raja and Priya love each other, but their families are against their relation. Will  they re-unite? Watch the full movie only on Hoichoi.",U/A 13+,3,2009,Subhash Sen,"Mainak Banerjee, Ridhima, Rajatava Dutta","raja, priya, love, each, other, families, against, relation, re, unite, watch, full, movie, only, hoichoi",,
Ajab Gayer Ajab Katha,Comedy,"Raja Birchandra is least bothered about his kingdom. However, many of his villagers take full advantage of this. Watch the full movie on Hoichoi.",U,1,1998,Tapan Sinha,"Soumitra Chatterjee, Manoj Mitra, Koushik Sen","raja, birchandra, least, bothered, kingdom, however, many, villagers, take, full, advantage, watch, full, movie, hoichoi",,
Bazee,Action,Raju – rich and successful and Kashinath - poor and uneducated. How does fate bring them together and drifts them apart? Watch the full movie on Hoichoi.,U,1,2004,Shayma Prasad Mishra,"Prosenjit Chatterjee, Rachana Banerjee, Anamika Saha","raju, rich, successful, kashinath, poor, uneducated, how, fate, bring, together, drifts, apart, watch, full, movie, hoichoi",,
Bojhena Shey Bojhena (2012),Drama,"Four young people, from different parts of the social strata are intertwined due to twist of fate. Be a part of their journey. Watch the full movie on Hoichoi.",U,1,2012,Raj Chakraborty,"Soham, Mimi Chakraborty, Abir Chatterjee, Paayel Sarkar","four, young, people, different, parts, social, strata, intertwined, due, twist, fate, part, journey, watch, full, movie, hoichoi",,
Borbaad,Action,"Joy is obsessed with bikes, and Nandini is his love. Little does he know, that he has to vroom a long way to meet his dreams. Watch the full movie on Hoichoi.",A 18+,5,2014,Raj Chakraborty,"Bonny, Rittika Sen, Mainak Banerjee","joy, obsessed, bikes, nandini, love, little, know, vroom, long, way, meet, dreams, watch, full, movie, hoichoi",,
Chopper,Drama,"Chopper portrays the struggle of the working class. Alongside the struggle, love blossoms between Rajat and Rina. Watch the full movie on Hoichoi.",U/A 13+,3,1985,Nabyendu Chatterjee,"Shobha Sen, Sreela Majumdar, Joy Bandyopadhyay","chopper, portrays, struggle, working, class, alongside, struggle, love, blossoms, rajat, rina, watch, full, movie, hoichoi",,
Satyanweshi,Detective,"When the librarian of the palace goes missing, Byomkesh sets out to investigate the matter. Where will the mystery lead him? Watch the full movie on Hoichoi.",U/A 16+,4,2013,Rituparno Ghosh,"Sujoy Ghosh, Anindya Chatterjee, Indraneil Sengupta, Arpita Chatterjee","when, librarian, palace, goes, missing, byomkesh, sets, investigate, matter, where, mystery, lead, watch, full, movie, hoichoi",,
Agnisakshi,Romance,Surya Narayan's father forces him to marry a woman whom he refuses to accept as his wife. Will their relationship improve? Watch the full movie on Hoichoi.,U/A 7+,2,2010,Dipankar Bhattacharya,"Soumitra Chatterjee, Pradip Mukherjee, Kharaj Mukherjee","surya, narayan, s, father, forces, marry, woman, whom, refuses, accept, wife, relationship, improve, watch, full, movie, hoichoi",,
Baishe Srabon,Mystery,A mysterious serial killer is on the loose. The murders relate to various verses of a Bengali poem. Who is he? Watch the full movie on Hoichoi.,A 18+,5,2011,Srijit Mukherji,"Prosenjit Chattopadhyay, Parambrata Chattopadhyay, Raima Sen, Abir Chatterjee, Goutam Ghose, Rajesh Sharma, Sumit Samaddar","mysterious, serial, killer, loose, murders, relate, various, verses, bengali, poem, who, watch, full, movie, hoichoi",,
Chokher Bali,Drama,"The lonely, widowed Binodini and the newly-married, innocent Ashalata befriend each other in the inner halls of an aristocratic Bengali household. A complex web of relations involving Ashalata's husband Mahendra and his friend, Behari, soon lands them in a whirlwind of lies, deceit and betrayal.",U/A 16+,4,2003,Rituparno Ghosh,"Aishwarya Rai Bachchan, Prosenjit Chattopadhyay, Raima Sen, Tota Roy Choudhury","lonely, widowed, binodini, newly, married, innocent, ashalata, befriend, each, other, inner, halls, aristocratic, bengali, household, complex, web, relations, involving, ashalata, s, husband, mahendra, friend, behari, soon, lands, whirlwind, lies, deceit, betrayal",,
Mishawr Rawhoshyo,Adventure,"Based on the works of Sunil Gangopadhyay, Mishawr Rahasya explores the story of Al Mamun, an Egyptian business tycoon, asks Kakababu to help him decode some hieroglyphic symbols that will help trace the will of his teacher.",U/A 7+,2,2013,Srijit Mukherji,"Prosenjit Chattopadhyay, Aryann Bhowmik, Indraneil Sengupta","based, works, sunil, gangopadhyay, mishawr, rahasya, explores, story, al, mamun, egyptian, business, tycoon, asks, kakababu, help, decode, some, hieroglyphic, symbols, help, trace, teacher",,
Autograph,Drama,"Film maker Shuvabrata wants to cast superstar Arun Chatterjee in his debut film. As the camera starts rolling, real meets reel. Watch the full movie on Hoichoi.",U/A 13+,3,2010,Srijit Mukherji,"Prosenjit Chattopadhyay, Nandana Dev Sen, Indraneil Sengupta","film, maker, shuvabrata, wants, cast, superstar, arun, chatterjee, debut, film, camera, starts, rolling, real, meets, reel, watch, full, movie, hoichoi",,
Le Halua Le,Comedy,"Roommates Sonali and Subho don’t get along well, but keep calm to adjust in the low-rent. Will they settle their scores? Watch the full movie on Hoichoi.",U/A 7+,2,2012,Raja Chanda,"Soham, Paayel Sarkar, Hiraan","roommates, sonali, subho, don, t, get, along, well, keep, calm, adjust, low, rent, settle, scores, watch, full, movie, hoichoi",,
Vidyasagar,Drama,"In a bid to eradicate social evils and propagate a progressive mindset, Ishwar Chandra Vidyasagar strives hard to educate the masses.",U,1,1950,Kali Prasad Ghosh,"Pahari Sanyal, Kamal Mitra, Utpal Dutt","bid, eradicate, social, evils, propagate, progressive, mindset, ishwar, chandra, vidyasagar, strives, hard, educate, masses",,
Sankalpa,Drama,"An ailing father is worried about his family, in case of his death. Will he be able to secure their future? Watch the full movie on Hoichoi.",U,1,1949,Agradoot,"Anup Kumar, Kamal Mitra, Malina Debi","ailing, father, worried, family, case, death, able, secure, future, watch, full, movie, hoichoi",,
Sathya Mithya,Drama,This classic movie brings back the bygone days of Bengali cinema. Are you ready to be transported back to the golden days? Watch the full movie on Hoichoi.,U/A 7+,2,1992,A.J. Mintu,"Nutan, Anup Kumar, Sandhya Roy","classic, movie, brings, back, bygone, days, bengali, cinema, ready, transported, back, golden, days, watch, full, movie, hoichoi",,
Pratyaghat,Action,"The film portrays the goodness of duty, ethics and emotions; a must watch for all age group for the values it infiltrates. Watch the full movie on Hoichoi.",U/A 13+,3,2012,Shantanu Bhowmik,"Prosenjit Chatterjee, Dipankar Dey, Dilip Roy","film, portrays, goodness, duty, ethics, emotions, watch, all, age, group, values, infiltrates, watch, full, movie, hoichoi",,
MLA Fatakesto,Action,"A story of an anti-social turned politician, MLA Fatakeshto is a family entertainer with iconic, catchy dialogues. Mithun da as the noted MLA plays an anti-social, who has a profound sense of morality and righteousness. The story depicts a week in his life. Watch the full movie on Hoichoi.",U/A 7+,2,2006,Swapan Saha,"Mithun Chakraborty, Koel, Debashree Roy","story, anti, social, turned, politician, mla, fatakeshto, family, entertainer, iconic, catchy, dialogues, mithun, da, noted, mla, plays, anti, social, who, profound, sense, morality, righteousness, story, depicts, week, life, watch, full, movie, hoichoi",,
Nirdharita Shilpir Anupasthitite,Drama,"Nirdharita Shilpir Anupasthitite revolves around a father and daughter, who get separated and unite after a long time. However, things take a drastic turn when the daughter has problem adjusting with her father's rich background.",U,1,1959,Nirmal Dey,"Bhanu Bandopadhyay, Chhabi Biswas, Tulsi Chakraborty","nirdharita, shilpir, anupasthitite, revolves, around, father, daughter, who, get, separated, unite, long, time, however, things, take, drastic, turn, when, daughter, problem, adjusting, father, s, rich, background",,
Ek Jhank Ichhe Dana,Drama,"This film is like a breath of fresh air, based on the crisis, dilemma and turmoil faced by the students in their academic life. Watch the full movie on Hoichoi.",U/A 7+,2,2010,Susanto Pal Choudhury,"Riya Mukherjee, Soumitra Chatterjee, Sabyasachi Chakraborty","film, breath, fresh, air, based, crisis, dilemma, turmoil, faced, students, academic, life, watch, full, movie, hoichoi",,
Diet,Drama,"Circumstances force Amina and Abed to move to the city, leaving the village life. This shift has terrible effect on them. Watch the full movie on Hoichoi.",U/A 13+,3,2009,Panna Hossain,"Raja Goswami, Tapas Paul, Pamela","circumstances, force, amina, abed, move, city, leaving, village, life, shift, terrible, effect, watch, full, movie, hoichoi",,
Proloy,Crime,"After ideologist Barun Biswas is killed for raising his voice against the gang rapes in his village, who can bring the change? Watch the full movie on Hoichoi.",A 18+,5,2013,Raj Chakraborty,"Parambrata Chatterjee, Paran Bandopadhyay, Mimi Chakraborty","ideologist, barun, biswas, killed, raising, voice, against, gang, rapes, village, who, bring, change, watch, full, movie, hoichoi",,
Har Har Byomkesh,Detective,"Byomkesh is back again, this time in Varanasi to investigate the sudden death of Deepnarayan. Was it murder or a suicide? Watch the full movie on Hoichoi.",U/A 13+,3,2015,Arindam Sil,"Abir Chatterjee, Ritwick Chakraborty, Sohini Sarkar, Nusrat Jahan","byomkesh, back, again, time, varanasi, investigate, sudden, death, deepnarayan, murder, suicide, watch, full, movie, hoichoi",,
Ki Kore Toke Bolbo,Drama,"Anjali asks for a divorce from Akash on their wedding night, but the court asks the couple to stay together for six months before ending the marriage.  In the course of these few months, Anjali ends up falling in love with Akash but the way to Akash's heart is not so simple anymore. ",U/A 13+,3,2016,Rabi Kinagi,"Mimi Chakraborty, Ankush, Kharaj Mukherjee","anjali, asks, divorce, akash, wedding, night, court, asks, couple, stay, together, six, months, before, ending, marriage, course, few, months, anjali, ends, falling, love, akash, way, akash, s, heart, not, simple, anymore",,
Chirodini Tumi Je Amar,Romance,"A tale of unfulfilled love, this movie leaves a deep impact in the mind after the title credits have finished rolling. Watch the full movie on Hoichoi.",U/A 16+,4,2008,Raj Chakraborty,"Rahul Banerjee, Priyanka Sarkar, Rudranil Ghosh","tale, unfulfilled, love, movie, leaves, deep, impact, mind, title, credits, finished, rolling, watch, full, movie, hoichoi",,
Nirbasito,Drama,The film focuses on the pain of being separated from one’s motherland. It redefines the word 'freedom' in every woman's life. Watch the full movie on Hoichoi.,A 18+,5,2015,Churni Ganguly,"Churni Ganguly, Saswata Chatterjee, Raima Sen","film, focuses, pain, separated, one, s, motherland, redefines, word, freedom, every, woman, s, life, watch, full, movie, hoichoi",,
Sedin Dekha Hoyechilo (2010),Romance,Abir falls in love with Nandini but has never met her. What will he do once her true identity is revealed? Watch the full movie on Hoichoi.,U/A 13+,3,2010,Sujit Mondal,"Dev, Srabanti, Tapas Paul","abir, falls, love, nandini, never, met, what, once, true, identity, revealed, watch, full, movie, hoichoi",,
Cholo Paltai,Sports,"The story of a father-son duo, this movie documents their relationship and the ups and downs of life. Textbooks don't make sense for Gaurav and his father Shubhomoy, fails to recognise his talent and his dream, to become a cricketer. Chalo Paltai gives away a beautiful message, and is a treat to watch. Watch the full movie on Hoichoi.",U/A 7+,2,2011,Haranath Chakraborty,"Prosenjit Chatterjee, Aryann Bhowmick, Tathoi Deb","story, father, son, duo, movie, documents, relationship, ups, downs, life, textbooks, don, t, make, sense, gaurav, father, shubhomoy, fails, recognise, talent, dream, become, cricketer, chalo, paltai, gives, away, beautiful, message, treat, watch, watch, full, movie, hoichoi",,
Ami Subhash Bolchi,Drama,"Adopting to the ideologies of Netaji Subhas Chandra Bose, Debabrata tries to unite the Bengali community against the wrong-doers. Watch the full movie on Hoichoi.",U/A 13+,3,2011,Mahesh Manjrekar,"Mithun Chakraborty, Laboni Sarkar, Barkha Bisht Sengupta","adopting, ideologies, netaji, subhas, chandra, bose, debabrata, tries, unite, bengali, community, against, wrong, doers, watch, full, movie, hoichoi",,
Chirodini Tumi Je Amar - 2,Romance,Bhanu reaches Kolkata to make a living and falls for housemaid Jyoti. They are too young to realise that the road ahead is doomed. Watch the full movie on Hoichoi.,U/A 16+,4,2014,Soumik Chatterjee,"Arjun Chakraborty, Urmila Mahanta, Kharaj Mukherjee","bhanu, reaches, kolkata, make, living, falls, housemaid, jyoti, too, young, realise, road, ahead, doomed, watch, full, movie, hoichoi",,
Amanush,Crime,"A disturbed Vinod falls in love with his classmate Ria. Unaware of his true nature, Ria gets trapped in a cycle of rage and violence after rejecting his refusal. ",U/A 13+,3,2010,Rajib Kumar Biswas,"Soham, Srabanti, Biswajit Chakraborty","disturbed, vinod, falls, love, classmate, ria, unaware, true, nature, ria, gets, trapped, cycle, rage, violence, rejecting, refusal",,
Darpa Churna,Drama,"A couple wants to settle down, but their families are against their relationship. How will they convince their kins? Watch the full movie on Hoichoi.",U,1,1980,Dilip Roy,"Uttam Kumar, Soumitra Chatterjee, Sandhya Roy","couple, wants, settle, families, against, relationship, how, convince, kins, watch, full, movie, hoichoi",,
Champion,Romance,"Raja is a laid-back young man, who fights and struggles for his injured brother by winning a kickboxing match in his stead.",U/A 13+,3,2003,Rabi Kinagi,"Jeet, Srabanti, Dipankar Dey","raja, laid, back, young, man, who, fights, struggles, injured, brother, winning, kickboxing, match, stead",,
Dadu No.1,Comedy,"Rich businessman Bhawani Chatterjee offers Mamta a job at his office. Later, he also asks her a favour. How will Mamta react? Watch the full movie on Hoichoi.",U/A 7+,2,2004,Sanat Dutta,"Ranjit Mallick, Rachana Banerjee, Ferdous Ahmed","rich, businessman, bhawani, chatterjee, offers, mamta, job, office, later, also, asks, favour, how, mamta, react, watch, full, movie, hoichoi",,
Run,Action,"Jit is in love with Megha but cannot marry Megha, till he has a government job offer letter in his hand. What will he do? Watch the full movie on Hoichoi.",U/A 7+,2,2011,Swapan Saha,"Rahul Banerjee, Priyanka Sarkar, Rajatava Dutta","jit, love, megha, cannot, marry, megha, till, government, job, offer, letter, hand, what, watch, full, movie, hoichoi",,
Mama Square,Comedy,"Tia loves Sourav, but her relatives who brought her up, are not happy with their relationship. How will they get along? Watch the full movie on Hoichoi.",U/A 13+,3,2010,Sanat Dutta,"Tapas Paul, Sabyasachi Chakrabarty, Ritojit","tia, loves, sourav, relatives, who, brought, not, happy, relationship, how, get, along, watch, full, movie, hoichoi",,
Tomai Pabo Bole,Drama,"The story is about rivalry between two neighbouring families. In an interesting turn of events, however, the son of one family falls in love with the daughter of the other family. Will their kins agree to their relation? Watch the full movie on Hoichoi.",U,1,1999,Swapan Saha,"Prosenjit Chatterjee, Soumitra Chatterjee, Rituparna Sengupta","story, rivalry, two, neighbouring, families, interesting, turn, events, however, son, one, family, falls, love, daughter, other, family, kins, agree, relation, watch, full, movie, hoichoi",,
Raja Babu,Drama,Raja Babu accepts Rani and her unborn child to save her reputation. Will they accept Raja Babu as the father later? Watch the movie on Hoichoi.,U/A 7+,2,2004,Anup Sengupta,"Jishhu Sengupta, Mithun Chakraborty, Dipankar Dey","raja, babu, accepts, rani, unborn, child, save, reputation, accept, raja, babu, father, later, watch, movie, hoichoi",,
Surya,Action,"Ashok, a businessman, provides shelter to Mahim Halden. An ambitious Mahim kills his benefactor Ashok, and takes over his property. Ashok's son Surya comes to know the truth and makes it his life’s purpose to seek revenge from his father's killer. Watch the full movie on Hoichoi.",U/A 7+,2,2004,Haranath Chakraborty,"Prosenjit Chatterjee, Arunima Ghosh, Dulal Lahiri","ashok, businessman, provides, shelter, mahim, halden, ambitious, mahim, kills, benefactor, ashok, takes, property, ashok, s, son, surya, comes, know, truth, makes, life, s, purpose, seek, revenge, father, s, killer, watch, full, movie, hoichoi",,
Sri Sri Tarakeshwar,Devotional,The film depicts dedication of the devotees of Lord Shiva. Will they feel the presence of their Lord during times of crisis? Watch the full movie on Hoichoi.,U/A 7+,2,1958,Banshi Ash,"Kamal Mitra, Jahar Roy, Nitish Mukherjee","film, depicts, dedication, devotees, lord, shiva, feel, presence, lord, during, times, crisis, watch, full, movie, hoichoi",,
Sonar Sansar,Drama,"Abhijit Roy is retired with three children. As they grow up and face the real world, destiny has a lot in store for them. Watch the full movie on Hoichoi.",U/A 13+,3,2003,Anup Sengupta,"Prosenjit Chatterjee, Tapas Paul, Mrinal Mukherjee","abhijit, roy, retired, three, children, grow, face, real, world, destiny, lot, store, watch, full, movie, hoichoi",,
Mayer Aasirbad,Drama,Simpleton Madhu believes nobody can harm him as long as his mother’s blessings are on him. Will his belief stay deep rooted? Watch the full movie on Hoichoi.,U/A 7+,2,1993,Alamgir,"Debashree Roy, Nirmal Kumar, Biplab Chatterjee","simpleton, madhu, believes, nobody, harm, long, mother, s, blessings, belief, stay, deep, rooted, watch, full, movie, hoichoi",,
Goynar Baksho,Drama,"An adaptation of Shirshendu Mukhopadhyay's novel, Goynar Baksho revolves around a matriarch of a Bengali Hindu family who becomes so obsessed with her secret jewellery box that she rises from her grave to make sure that her niece-in-law protects it from the other relatives.",U/A 16+,4,2013,Aparna Sen,"Konkona Sen Sharma, Moushumi Mukherjee, Srabanti","adaptation, shirshendu, mukhopadhyay, s, novel, goynar, baksho, revolves, around, matriarch, bengali, hindu, family, who, becomes, obsessed, secret, jewellery, box, rises, grave, make, sure, niece, law, protects, other, relatives",,
Shudhu Tomari Jonyo,Drama,A love story that creates a lasting impact. A couple find love after marriage and reconcile with their respective pasts. Watch the full movie on Hoichoi.,U/A 7+,2,2015,Bisra Dasgupta,"Dev, Srabanti, Mimi Chakraborty, Soham","love, story, creates, lasting, impact, couple, find, love, marriage, reconcile, respective, pasts, watch, full, movie, hoichoi",,
Apur Panchali,Drama,"Satyajit Ray’s Pather Panchali needs no introduction, but Subir Banerjee who played Apu’s character surely needs one. Watch the full movie on Hoichoi.",U/A 7+,2,2014,Kaushik Ganguly,"Parambrata Chattopadhyay, Ardhendu Banerjee, Parno Mittra, Gaurav Chakrabarty","satyajit, ray, s, pather, panchali, needs, no, introduction, subir, banerjee, who, played, apu, s, character, surely, needs, one, watch, full, movie, hoichoi",,
Bapi Bari Jaa,Romantic Comedy,"After finding love and struggling through a decision on their careers, five friends must face the harsh realities of the world.",A 18+,5,2012,"Sudeshna Roy, Abhijit Guha","Mimi Chakraborty, Arjun Chakrabarty, Anindya Chatterjee","finding, love, struggling, decision, careers, five, friends, face, harsh, realities, world",,
Challenge,Action,"Mr. Agnidev Sen is too protective of his daughter, Pooja. Abir defies him and challenges to win over his love. Watch the full movie on Hoichoi.",U/A 7+,2,2009,Raj Chakraborty,"Dev, Subhashree, Rajatava Dutta","mr, agnidev, sen, too, protective, daughter, pooja, abir, defies, challenges, win, love, watch, full, movie, hoichoi",,
Amanush 2,Crime,"When Raghu's father finds out about his wife's affair with Raghu's tutor and commits suicide, Raghu decides to avenge his father. After serving at a juvenile home, Raghu takes a new identity in search of a new life. How far will he go to hide his past?",A 18+,5,2015,Rajib Kumar Biswas,"Soham, Paayel Sarkar, Rajesh Sharma","when, raghu, s, father, finds, wife, s, affair, raghu, s, tutor, commits, suicide, raghu, decides, avenge, father, serving, juvenile, home, raghu, takes, new, identity, search, new, life, how, far, go, hide, past",,
Poran Jaye Jolia Re,Romance,An off-beat rom-com showcasing a British bred - Anna's journey into finding the right guy. Watch the full movie on Hoichoi.,U/A 7+,2,2009,Rabi Kinagi,"Dev, Subhashree, Biswajit Chakraborty","beat, rom, com, showcasing, british, bred, anna, s, journey, finding, right, guy, watch, full, movie, hoichoi",,
Bandhan,Romance,"Mina and Rohit marry against their family's wishes. As relationships are at stake, will they re-unite with their kins? Watch the full movie on Hoichoi.",U/A 7+,2,2004,Rabi Kinagi,"Jeet, Koel, Victor Banerjee","mina, rohit, marry, against, family, s, wishes, relationships, stake, re, unite, kins, watch, full, movie, hoichoi",,
Tara,Drama,"When Prof. Manoj is framed and tortured by the police, his daughter decides to retaliate, even though people try to suppress her. Watch the full movie on Hoichoi.",U/A 13+,3,2010,Bratya Basu,"Prosejit Chatterjee, Paoli Dam, Tota Roy Chowdhury","when, prof, manoj, framed, tortured, police, daughter, decides, retaliate, even, though, people, try, suppress, watch, full, movie, hoichoi",,
Sangee,Romance,Bijay sacrifices his love when he finds out that Rupa is his best friend Rana's sister. Will Bijay be able to pursue her? Watch the full movie on Hoichoi.,U/A 7+,2,2003,Haranath Chakraborty,"Jeet, Ranjit Mallick, Rajesh Sharma","bijay, sacrifices, love, when, finds, rupa, best, friend, rana, s, sister, bijay, able, pursue, watch, full, movie, hoichoi",,
Kellafate,Drama,"Shibu meets Pallabi and falls in love. After finding out the problems she is facing, can he solve them out? Watch the full movie on Hoichoi.",U/A 13+,3,2010,Sujit Guha,"Ankush, Rupashree, Rajatava Dutta","shibu, meets, pallabi, falls, love, finding, problems, facing, solve, watch, full, movie, hoichoi",,
Sei To Abar Kache Ele,Romance,"Animesh was settled abroad and deeply in love with Ishita. Amidst turmoil, will their love emerge victorious at the end? Watch the full movie on Hoichoi.",U/A 13+,3,1999,"
Jayanta Bhattacharya","Prosenjit Chatterjee, Arjun Chakraborty, Soumitra Chatterjee","animesh, settled, abroad, deeply, love, ishita, amidst, turmoil, love, emerge, victorious, end, watch, full, movie, hoichoi",,
Fight 1:1,Action,"The storyline circles around two gangs, who are at loggerheads. What will be the outcome of this tiff? Watch the full movie on Hoichoi.",U/A 7+,2,2011,Debaditya,"Satabdi Roy, Tapas Paul, Paran Bandyopadhyay","storyline, circles, around, two, gangs, who, loggerheads, what, outcome, tiff, watch, full, movie, hoichoi",,
Protidwandi (2010),Action,Protidwandi revolves around a village simpleton Debu who aspires to become an actor and is eventually successful. But can he fight the evils brought by his fame? ,U/A 13+,3,2010,Anup Sengupta,"Rahul Banerjee, Biswajit Chakraborty, Ranjit Mallick","protidwandi, revolves, around, village, simpleton, debu, who, aspires, become, actor, eventually, successful, fight, evils, brought, fame",,
Aat Paake Badha,Romance,"Indra is the most sorted guy in his team whereas, Priya is an epitome of grace. This film is a sweet tale of love between them. Watch the full movie on Hoichoi.",U/A 7+,2,2011,"Ruby Gupta, Kunal Choudhury","Vishal, Ruhi, Arpita Baker","indra, most, sorted, guy, team, whereas, priya, epitome, grace, film, sweet, tale, love, watch, full, movie, hoichoi",,
Arshinagar,Romance,"An adaptation of Shakespeare's Romeo and Juliet, the film revolves around Ranajit and Julekha belong to rival families where the enmity between them goes way back. However, when they meet, there is an unbeatable connection that eventually turns to love.",U/A 16+,4,2015,Aparna Sen,"Dev, Rittika Sen, Jisshu Sengupta","adaptation, shakespeare, s, romeo, juliet, film, revolves, around, ranajit, julekha, belong, rival, families, where, enmity, goes, way, back, however, when, meet, there, unbeatable, connection, eventually, turns, love",,
Bangali Babu English Mem,Comedy,"This engaging rom-com traces the life of Madhusudan, a simple Bengali guy who wishes to get married to a rich Canadian woman. Watch the full movie on Hoichoi.",U/A 7+,2,2014,Rabi Kinagi,"Soham, Mimi Chakraborty","engaging, rom, com, traces, life, madhusudan, simple, bengali, guy, who, wishes, get, married, rich, canadian, woman, watch, full, movie, hoichoi",,
Beder Meye Josna,Drama,"The first Indo-Bangladesh co-production - Bengali movie, has a strong romance and dramatic plot, promising an engaging view. Watch the full movie on Hoichoi.",U/A 13+,3,1991,Motiur Rahman Panu,"Chiranjeet, Anju Ghosh, Subhendu Chatterjee","first, indo, bangladesh, co, production, bengali, movie, strong, romance, dramatic, plot, promising, engaging, view, watch, full, movie, hoichoi",,
Char Adhyay,Drama,"One of Tagore's work, this one speaks about the misdeeds of idealism against British Raj and love arising at this point. Watch the full movie on Hoichoi.",U/A 13+,3,2016,Nitish Mukherjee,"Mallika Majumdar, Debdut Ghosh, Tarun Chakraborty","one, tagore, s, work, one, speaks, misdeeds, idealism, against, british, raj, love, arising, point, watch, full, movie, hoichoi",,
Biyallish,Historic,One of Hemen Gupta's best works that addresses the political agitations against the colonial backdrop in Midnapore during 1942. Watch the full movie on Hoichoi.,U,1,1951,Hemen Gupta,"Pradip Kumar, Manju Dey, Bikash Roy","one, hemen, gupta, s, best, works, addresses, political, agitations, against, colonial, backdrop, midnapore, during, 1942, watch, full, movie, hoichoi",,
Amar Bodyguard,Romance,Anol is in love with Ankhi but she does not reciprocate to his feelings. Will he be able to change Ankhi's mindset? Watch the full movie only on Hoichoi.,U/A 7+,2,2012,Haranath Chakraborty,"Ridhima Ghosh, Pratik, Tapas Paul","anol, love, ankhi, not, reciprocate, feelings, able, change, ankhi, s, mindset, watch, full, movie, only, hoichoi",,
Bedeneer Prem,Romance,"Visually stunning and expertly acted, this film is a tribute to an adventure, emotion and eternal romance. Watch the full movie on Hoichoi.",U,1,1992,Swapan Saha,"Anju Ghosh, Chiranjeet, Lily Chakraborty","visually, stunning, expertly, acted, film, tribute, adventure, emotion, eternal, romance, watch, full, movie, hoichoi",,
Ami Achi Sei Je Tomar,Romance,Bhaskar dies in an accident leaving his love Priya mentally unstable. Few years later Angshuman comes to her village. Who is he? Watch the full movie on Hoichoi.,U,1,2011,Amit Dasgupta,"Angshuman, Anu Chowdhury, Dulal Lahiri","bhaskar, dies, accident, leaving, love, priya, mentally, unstable, few, years, later, angshuman, comes, village, who, watch, full, movie, hoichoi",,
Churiwala,Romance,Churiwala is a classic tale of star-crossed lovers Sooraj - Rupa; and their struggle to fight societal and family issues. Watch the full movie on Hoichoi.,U/A 7+,2,2001,Shaha Alam Kiran,"Firdous Ahmed, Shambhu Bhattacharya, Soumitra Chatterjee","churiwala, classic, tale, star, crossed, lovers, sooraj, rupa, struggle, fight, societal, family, issues, watch, full, movie, hoichoi",,
Saptami,Romance,"Soumo marries Saptami and leaves her in the care of his friend to study more. He returns, to get the shock of his life. Watch the full movie on Hoichoi.",U,1,1997,Pallab Ghosh,"Prosenjit Chatterjee, Soumitra Chatterjee, Abhishek Chatterjee","soumo, marries, saptami, leaves, care, friend, study, more, returns, get, shock, life, watch, full, movie, hoichoi",,
Kelor Kirti,Comedy,"When a glamorous woman enters the lives of three couples, all leads to humorous situations and a lot of chaos. Watch the full movie on Hoichoi.",U,1,2016,Raja Chanda,"Dev, Ankush, Jisshu Sengupta, Mimi Chakraborty, Nusrat Jahan, Sayantika, Koushani","when, glamorous, woman, enters, lives, three, couples, all, leads, humorous, situations, lot, chaos, watch, full, movie, hoichoi",,
Challenge 2,Action,The story follows Abhi’s mission to get justice for his father's death. Will he succeed in his mission? Watch the full movie on Hoichoi.,U/A 13+,3,2010,Raja Chanda,"Dev, Pooja Bose, Tapas Paul","story, follows, abhi, s, mission, get, justice, father, s, death, succeed, mission, watch, full, movie, hoichoi",,
Power,Action,"Jeetu, an aspiring cop goes around posing as an officer with a stolen uniform. But what has fate in store for him? Watch the full movie on Hoichoi.",U/A 13+,3,2016,Rajib Kumar Biswas,"Jeet, Nusrat Jahan, Sayantika Banerjee","jeetu, aspiring, cop, goes, around, posing, officer, stolen, uniform, what, fate, store, watch, full, movie, hoichoi",,
Bhanu Pelo Lottery,Comedy,"A Bengali classic starring Bhanu Bandyopadhyay, telling a story of an artisan’s whose life changes after winning a lottery. Watch the full movie on Hoichoi.",U,1,1958,Tushar Kanti Ghosh,"Bhanu Bandyopadhyay, Jahar Roy, Lily Chakrabarty","bengali, classic, starring, bhanu, bandyopadhyay, telling, story, artisan, s, whose, life, changes, winning, lottery, watch, full, movie, hoichoi",,
Swapnerdin,Drama,"Watch Prosenjit Chatterjee-starrer Buddhadev Dasgupta's National Award-winning movie Swapnerdin, the story of three individuals struggling to fulfil their dreams amidst all societal constraints. ",U,1,2004,Buddhadeb Dasgupta,"Prosenjit Chatterjee, Raima Sen, Rimi Sen","watch, prosenjit, chatterjee, starrer, buddhadev, dasgupta, s, national, award, winning, movie, swapnerdin, story, three, individuals, struggling, fulfil, dreams, amidst, all, societal, constraints",,
